category,percent
Java,36.48
Internet,15.58
Microsoft .NET,12.92
Web Development,6.46
Software Engineering,6.08
Programming,4.56
Business,4.56
Client-Server,4.18
Microsoft,3.04
PowerBuilder,2.66
Networking,2.66
Theory,2.66
Computer Graphics,2.28
Python,2.28
Mobile Technology,2.28
Perl,2.28
Object-Oriented Programming,1.52
XML,1.52
Open Source,0.76
Miscellaneous,0.76
,0.76
Mobile,0.38
Next Generation Databases,0.38
S,0.38
P,0.38
java,0.38
Microsoft/.NET,0.38
Miscella,0.38
Object-Technology Programming,0.38
internet,0.38
.NET,0.38
Algorithmic Art,0.38
PHP,0.38
SOA,0.38
Computer Graph,0.38
Client Server,0.38
In Action,0.38
Software Development,0.38
